"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","name","popularity","artist","in_playlist"
"0.286","0.0553","5","-20.216","0","0.034","0.982","0.592","0.0989","0.182","52.789","audio_features","2n0nSu6H5KrAYRfI6iKtwT","spotify:track:2n0nSu6H5KrAYRfI6iKtwT","https://api.spotify.com/v1/tracks/2n0nSu6H5KrAYRfI6iKtwT","https://api.spotify.com/v1/audio-analysis/2n0nSu6H5KrAYRfI6iKtwT","332133","4","Lazy Afternoon","42","Joe Henderson","0"
"0.373","0.302","1","-20.358","0","0.0376","0.818","0.835","0.171","0.35","86.925","audio_features","0Dt1B5dNfajRczQKZA87aL","spotify:track:0Dt1B5dNfajRczQKZA87aL","https://api.spotify.com/v1/tracks/0Dt1B5dNfajRczQKZA87aL","https://api.spotify.com/v1/audio-analysis/0Dt1B5dNfajRczQKZA87aL","435267","4","So Tender","54","Keith Jarrett","0"
"0.501","0.303","9","-10.722","0","0.0367","0.734","0.000123","0.139","0.537","130.031","audio_features","0q4SJUYOp0Er9fvREdDyDv","spotify:track:0q4SJUYOp0Er9fvREdDyDv","https://api.spotify.com/v1/tracks/0q4SJUYOp0Er9fvREdDyDv","https://api.spotify.com/v1/audio-analysis/0q4SJUYOp0Er9fvREdDyDv","305439","4","Enlightenment","50","Sun Ra","0"
"0.564","0.904","7","-3.808","1","0.0582","0.00719","0","0.528","0.637","124.102","audio_features","2BgunkkepMPFpArQj1Dx5s","spotify:track:2BgunkkepMPFpArQj1Dx5s","https://api.spotify.com/v1/tracks/2BgunkkepMPFpArQj1Dx5s","https://api.spotify.com/v1/audio-analysis/2BgunkkepMPFpArQj1Dx5s","160991","4","Caught Up In The Country","72","Rodney Atkins","0"
"0.735","0.831","9","-5.898","1","0.0332","0.00166","0.217","0.291","0.756","123.017","audio_features","08wJ1B9yu9sPeoRa5fbpr3","spotify:track:08wJ1B9yu9sPeoRa5fbpr3","https://api.spotify.com/v1/tracks/08wJ1B9yu9sPeoRa5fbpr3","https://api.spotify.com/v1/audio-analysis/08wJ1B9yu9sPeoRa5fbpr3","216800","4","It Ain't My Fault","63","Brothers Osborne","0"
"0.507","0.85","5","-5.679","1","0.0472","0.378","0","0.0567","0.847","171.8","audio_features","6leiB1fEsTnVCuPiielde5","spotify:track:6leiB1fEsTnVCuPiielde5","https://api.spotify.com/v1/tracks/6leiB1fEsTnVCuPiielde5","https://api.spotify.com/v1/audio-analysis/6leiB1fEsTnVCuPiielde5","183733","4","Something Like That","54","Tim McGraw","0"
"0.551","0.801","6","-5.069","1","0.0303","0.013","6.03E-06","0.265","0.625","128.027","audio_features","1mMLMZYXkMueg65jRRWG1l","spotify:track:1mMLMZYXkMueg65jRRWG1l","https://api.spotify.com/v1/tracks/1mMLMZYXkMueg65jRRWG1l","https://api.spotify.com/v1/audio-analysis/1mMLMZYXkMueg65jRRWG1l","240760","4","When It Rains It Pours","75","Luke Combs","0"
"0.518","0.906","9","-2.845","1","0.0573","0.0889","0","0.309","0.751","174.099","audio_features","1vD4DN56ued7pQklJBDesw","spotify:track:1vD4DN56ued7pQklJBDesw","https://api.spotify.com/v1/tracks/1vD4DN56ued7pQklJBDesw","https://api.spotify.com/v1/audio-analysis/1vD4DN56ued7pQklJBDesw","165693","4","American Ride","55","Toby Keith","0"
"0.594","0.824","9","-4.252","1","0.0458","0.0617","0","0.0861","0.671","116.005","audio_features","0w3Q14i073jLoew1hgJkwD","spotify:track:0w3Q14i073jLoew1hgJkwD","https://api.spotify.com/v1/tracks/0w3Q14i073jLoew1hgJkwD","https://api.spotify.com/v1/audio-analysis/0w3Q14i073jLoew1hgJkwD","205200","4","Heartache On The Dance Floor","71","Jon Pardi","0"
"0.375","0.889","3","-3.704","1","0.0991","0.0848","0","0.136","0.881","199.669","audio_features","4P92FrvmYQSAfOpp4cpFEi","spotify:track:4P92FrvmYQSAfOpp4cpFEi","https://api.spotify.com/v1/tracks/4P92FrvmYQSAfOpp4cpFEi","https://api.spotify.com/v1/audio-analysis/4P92FrvmYQSAfOpp4cpFEi","185200","4","Simple","41","Florida Georgia Line","0"
"0.639","0.846","9","-6.184","0","0.0439","0.0325","0","0.116","0.475","115.965","audio_features","3M31S6f0z8S3nkFh3eS06W","spotify:track:3M31S6f0z8S3nkFh3eS06W","https://api.spotify.com/v1/tracks/3M31S6f0z8S3nkFh3eS06W","https://api.spotify.com/v1/audio-analysis/3M31S6f0z8S3nkFh3eS06W","224813","4","Drink to That All Night","62","Jerrod Niemann","0"
"0.557","0.825","6","-4.657","1","0.0283","0.00525","0.00164","0.177","0.841","120.015","audio_features","4Ng7hGdPwpINleVecBWiOO","spotify:track:4Ng7hGdPwpINleVecBWiOO","https://api.spotify.com/v1/tracks/4Ng7hGdPwpINleVecBWiOO","https://api.spotify.com/v1/audio-analysis/4Ng7hGdPwpINleVecBWiOO","201120","4","Free And Easy (Down The Road I Go)","52","Dierks Bentley","0"
"0.603","0.944","7","-4.157","1","0.0481","0.0496","7.23E-05","0.152","0.911","144.026","audio_features","45vYrwyBrzq8y2RdEsgjgK","spotify:track:45vYrwyBrzq8y2RdEsgjgK","https://api.spotify.com/v1/tracks/45vYrwyBrzq8y2RdEsgjgK","https://api.spotify.com/v1/audio-analysis/45vYrwyBrzq8y2RdEsgjgK","224027","4","Hillbilly Bone (feat. Trace Adkins)","40","Blake Shelton","0"
"0.679","0.842","5","-4.364","1","0.0376","0.275","0","0.135","0.72","119.013","audio_features","7G6l2FtQyRhQgYgut2I6i8","spotify:track:7G6l2FtQyRhQgYgut2I6i8","https://api.spotify.com/v1/tracks/7G6l2FtQyRhQgYgut2I6i8","https://api.spotify.com/v1/audio-analysis/7G6l2FtQyRhQgYgut2I6i8","227840","4","As Good As I Once Was","62","Toby Keith","0"
"0.685","0.783","11","-4.152","1","0.0276","0.116","0","0.194","0.525","90.008","audio_features","7f08qp3HROTkfrtNpiYGGo","spotify:track:7f08qp3HROTkfrtNpiYGGo","https://api.spotify.com/v1/tracks/7f08qp3HROTkfrtNpiYGGo","https://api.spotify.com/v1/audio-analysis/7f08qp3HROTkfrtNpiYGGo","201893","4","Dirt On My Boots","68","Jon Pardi","0"
"0.464","0.813","10","-6.185","1","0.0416","0.0153","0","0.254","0.516","75.975","audio_features","6xHI9KjUjYT0FPtGO8Mxa1","spotify:track:6xHI9KjUjYT0FPtGO8Mxa1","https://api.spotify.com/v1/tracks/6xHI9KjUjYT0FPtGO8Mxa1","https://api.spotify.com/v1/audio-analysis/6xHI9KjUjYT0FPtGO8Mxa1","222533","4","Hurricane","75","Luke Combs","0"
"0.464","0.853","2","-3.767","1","0.0417","0.055","0","0.191","0.76","163.934","audio_features","1rOoICPf1JpkRpX5PNuJt2","spotify:track:1rOoICPf1JpkRpX5PNuJt2","https://api.spotify.com/v1/tracks/1rOoICPf1JpkRpX5PNuJt2","https://api.spotify.com/v1/audio-analysis/1rOoICPf1JpkRpX5PNuJt2","187613","4","Take a Little Ride","4","Jason Aldean","0"
"0.576","0.849","9","-3.057","1","0.0386","0.511","3.89E-05","0.109","0.666","137.982","audio_features","0Utg7sirTPqrs6Cx0FbriQ","spotify:track:0Utg7sirTPqrs6Cx0FbriQ","https://api.spotify.com/v1/tracks/0Utg7sirTPqrs6Cx0FbriQ","https://api.spotify.com/v1/audio-analysis/0Utg7sirTPqrs6Cx0FbriQ","196747","4","Chillin' It","60","Cole Swindell","0"
