"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","name","popularity","artist","in_playlist"
"0.539","0.0678","0","-18.039","1","0.0468","0.967","0.168","0.114","0.263","124.105","audio_features","4zPDjRgceGrR0Sm54YDTTf","spotify:track:4zPDjRgceGrR0Sm54YDTTf","https://api.spotify.com/v1/tracks/4zPDjRgceGrR0Sm54YDTTf","https://api.spotify.com/v1/audio-analysis/4zPDjRgceGrR0Sm54YDTTf","294667","4","Autumn Nocturne","56","Lou Donaldson","0"
"0.456","0.222","0","-16.879","1","0.0354","0.938","0.806","0.24","0.15","112.725","audio_features","4qRJ7ZJyfzchEd2fjle7Bz","spotify:track:4qRJ7ZJyfzchEd2fjle7Bz","https://api.spotify.com/v1/tracks/4qRJ7ZJyfzchEd2fjle7Bz","https://api.spotify.com/v1/audio-analysis/4qRJ7ZJyfzchEd2fjle7Bz","392000","4","Search For Peace - Rudy Van Gelder 24Bit Mastering; 1998 Digital Rema","53","McCoy Tyner","0"
"0.506","0.493","8","-7.759","1","0.0427","0.798","0.00355","0.307","0.584","134.77","audio_features","6ZgaUtMlUzUf7SqbUUnfbu","spotify:track:6ZgaUtMlUzUf7SqbUUnfbu","https://api.spotify.com/v1/tracks/6ZgaUtMlUzUf7SqbUUnfbu","https://api.spotify.com/v1/audio-analysis/6ZgaUtMlUzUf7SqbUUnfbu","644013","4","Blue Train - Remastered 2003","57","John Coltrane","0"
"0.396","0.127","9","-23.48","1","0.0338","0.928","0.627","0.697","0.126","117.802","audio_features","6J973mNweqCDzoGfl2v8SA","spotify:track:6J973mNweqCDzoGfl2v8SA","https://api.spotify.com/v1/tracks/6J973mNweqCDzoGfl2v8SA","https://api.spotify.com/v1/audio-analysis/6J973mNweqCDzoGfl2v8SA","297320","4","My Foolish Heart","16","Bill Evans Trio","0"
"0.438","0.182","2","-15.209","0","0.0338","0.983","0.841","0.119","0.0639","65.535","audio_features","7hDq6sOZ5Rl1XnSSfoOBRK","spotify:track:7hDq6sOZ5Rl1XnSSfoOBRK","https://api.spotify.com/v1/tracks/7hDq6sOZ5Rl1XnSSfoOBRK","https://api.spotify.com/v1/audio-analysis/7hDq6sOZ5Rl1XnSSfoOBRK","284187","3","Nature Boy","49","Jan Johansson","0"
"0.482","0.362","11","-14.28","0","0.0305","0.888","0.905","0.178","0.396","92.302","audio_features","3yV23Y1w7Uoc4Zw10L3Bwy","spotify:track:3yV23Y1w7Uoc4Zw10L3Bwy","https://api.spotify.com/v1/tracks/3yV23Y1w7Uoc4Zw10L3Bwy","https://api.spotify.com/v1/audio-analysis/3yV23Y1w7Uoc4Zw10L3Bwy","284173","4","Stefanie","50","James Moody","0"
"0.293","0.237","9","-15.53","0","0.0381","0.754","0.45","0.121","0.0848","59.749","audio_features","5XPTuQXrCc8UPDExxVa4vh","spotify:track:5XPTuQXrCc8UPDExxVa4vh","https://api.spotify.com/v1/tracks/5XPTuQXrCc8UPDExxVa4vh","https://api.spotify.com/v1/audio-analysis/5XPTuQXrCc8UPDExxVa4vh","282600","4","Quiet Temple","50","Donald Byrd & Booker Little","0"
"0.594","0.115","8","-14.916","1","0.044","0.99","0.853","0.107","0.456","126.902","audio_features","1Lh7U5c3EvLBb6lSgHVFlR","spotify:track:1Lh7U5c3EvLBb6lSgHVFlR","https://api.spotify.com/v1/tracks/1Lh7U5c3EvLBb6lSgHVFlR","https://api.spotify.com/v1/audio-analysis/1Lh7U5c3EvLBb6lSgHVFlR","170626","4","All the Things You Are","48","Charlie Parker","0"
"0.597","0.263","7","-21.112","0","0.0284","0.959","0.9","0.134","0.262","94.44","audio_features","0Pq0mOdgFXTezl6mMt8a39","spotify:track:0Pq0mOdgFXTezl6mMt8a39","https://api.spotify.com/v1/tracks/0Pq0mOdgFXTezl6mMt8a39","https://api.spotify.com/v1/audio-analysis/0Pq0mOdgFXTezl6mMt8a39","255533","4","San Juan Sunset","49","Deodato","0"
"0.535","0.205","1","-17.222","1","0.0359","0.815","0.503","0.121","0.122","81.814","audio_features","7GXOrNqnHdJasc81GlKH2D","spotify:track:7GXOrNqnHdJasc81GlKH2D","https://api.spotify.com/v1/tracks/7GXOrNqnHdJasc81GlKH2D","https://api.spotify.com/v1/audio-analysis/7GXOrNqnHdJasc81GlKH2D","380933","4","The Awakening","43","Ahmad Jamal Trio","0"
